date,year,decade,type,registration,operator,location,country,cat,fatalities,is_fatal,year_orig
1950-01-01,1950,1950,Lockheed 414-08 Hudson IVA,VH-SMK,John Fairfax & Sons,"near Camden Airport, ...",Australia,A1,2,1,1950
1950-01-05,1950,1950,Curtiss C-46A,PP-XBW,Comp. Itaú de Transportes Aéreos,"Itaquaquecetuba, SP",Brazil,A1,0,0,1950
1950-01-05,1950,1950,Lisunov Li-2,42 red,Soviet AF,Sverdlovsk-Kolts...,Russia,A1,19,1,1950
1950-01-06,1950,1950,Douglas VC-47A (DC-3),42-93509,USAF,Ankara,Turkey,A1,0,0,1950
1950-01-10,1950,1950,Douglas C-47B (DC-3),F-BEFQ,Air Nolis,near Zinder,Niger,A1,0,0,1950
1950-01-18,1950,1950,Douglas DC-3,PI-C184,Trans Asiatic Airlines,Yangon-Mingalado...,Myanmar,A1,0,0,1950
1950-01-18,1950,1950,CASA 352 (Ju-52),T.2-143,Spanish AF,near Tobarra,Spain,A1,16,1,1950
1950-01-21,1950,1950,Douglas C-47 (DC-3),TAM-10,TAM,near Vacas,Bolivia,A1,0,0,1950
1950-01-22,1950,1950,Douglas DC-4-1009,F-BBDB,Air France,Paris-Orly Airpo...,France,O1,0,0,1950
1950-01-24,1950,1950,Douglas C-47A (DC-3),PI-C22,Philippine Air Lines,between Iloilo a...,Philippines,A1,4,1,1950
1950-01-24,1950,1950,Douglas C-47A (DC-3),F-BFGD,STA,near Tamatave,Madagascar,A1,14,1,1950
1950-01-25,1950,1950,Douglas C-47A (DC-3),VT-CPQ,"Air Services of India, opb Airways (India)",Shella Airstrip,India,A1,2,1,1950
1950-01-26,1950,1950,Douglas C-54D (DC-4),42-72469,USMC,"near Snag, YT",Canada,A1,44,1,1950
1950-01-30,1950,1950,Douglas C-47B (DC-3),F-BEIH,Air Nolis,Le Treport,France,U1,0,0,1950
1950-01-30,1950,1950,Douglas C-47B (DC-3),45-1015,USAF,near Whitehorse Airpo...,Canada,A1,0,0,1950
1950-01-31,1950,1950,Douglas C-47B (DC-3),45-1113,USAF,near La Tinta,Guatemala,A1,0,0,1950
1950-02-01,1950,1950,Shorts S.45 Solent 3,G-AHIX,BOAC,Southampton,U.K.,A1,0,0,1950
1950-02-01,1950,1950,Fairchild C-82A Packet,44-22986,USAF,Mount Clemens-Se...,USA,A1,0,0,1950
1950-02-02,1950,1950,Douglas C-47A (DC-3),PH-TEU,KLM,near Dutch coast [Nor...,Atlantic Ocean,A1,7,1,1950
1950-02-03,1950,1950,Short Sunderland GR.5,PP118,RAF,Calshot RAF Station,U.K.,O1,0,0,1950
1950-02-04,1950,1950,Douglas C-47D,43-49143,USAF,near Roosevelt Roads-...,Puerto Rico,A1,3,1,1950
1950-02-05,1950,1950,Curtiss C-46D,YV-C-AQE?,T.A. Transandino,Maracaibo,Venezuela,A2,0,0,1950
1950-02-05,1950,1950,Douglas C-54A (DC-4),4X-ACD,El Al,Lydda Airport (TLV),Israel,A1,0,0,1950
1950-02-06,1950,1950,Douglas C-47 (DC-3),FAC-665,Colombian AF,near Cali,Colombia,A1,4,1,1950
1950-02-07,1950,1950,Douglas C-47D,45-1037,USAF,"near Pon Lake, YT",Canada,A1,0,0,1950
1950-02-07,1950,1950,PB2B-1 Catalina,NZ4051,New Zealand AF,"Evans Bay, Welli...",New Zealand,A1,0,0,1950
1950-02-09,1950,1950,Canadair C-4-1 North Star,CF-CPR,Canadian Pacific,Tokyo-Haneda Air...,Japan,A1,0,0,1950
1950-02-09,1950,1950,Douglas C-54E (DC-4),44-9091,USAF,"near Raynesford, MT",USA,A1,3,1,1950
1950-02-10,1950,1950,Douglas C-47D,43-48457,USAF,Los Angeles Inte...,USA,A1,0,0,1950
1950-02-12,1950,1950,Junkers Ju-52/3m,CR-AAJ,DETA,"Lagoa Páti, Man...",Mozambique,A1,0,0,1950
1950-02-16,1950,1950,Douglas DC-3A,F-BAOD,Air France,Cotonou Airport ...,Benin,A1,0,0,1950
