operator,accidents,category
", op.for GoJump",1,Unknown
1982-047 LLC,1,Unknown
2M Leasing,1,Unknown
2nd Arkhangelsk United Aviation Division,2,Unknown
987 Investments,1,Unknown
"A&C Big Sky Aviation, opb Trans-Pacific Jets",1,Private
AB Aviation,1,Unknown
ABS Equipment Leasing,1,Unknown
ACS Skydiving Center,1,Unknown
"ACT Airlines, opf Saudi Arabian",1,Commercial
"ACT Airlines, opf Turkish Cargo",1,Cargo
ALE - Aerolineas Ejecutivas,1,Unknown
ALIANSA Colombia,3,Unknown
ALTA,1,Unknown
"ANEPC, opb Babcock",1,Unknown
ARGa.,1,Unknown
ASL,2,Unknown
ASL - Air Service Liege,1,Commercial
AT Aero LLC,1,Unknown
AX Transporter,1,Unknown
Abeer Air Services,1,Commercial
"Abyssinian Flight Services, opf UN WFP",1,Unknown
AerCaribe Cargo,2,Cargo
AerCaribe Peru,1,Unknown
Aero Baires,1,Commercial
AeroUral,1,Unknown
Aeroflot,3,Unknown
"Aerogaviota, opf Cuban AF",1,Unknown
Aeromar,2,Unknown
Aeromedevac Air Ambulance,1,Commercial
Aeromás,1,Unknown
Aeroméxico Connect,1,Unknown
Aeronav Air Services,1,Commercial
Aeronaves TSM,3,Unknown
Aeroparadise SA,1,Unknown
Aeroquest,1,Unknown
Aeroserv,1,Unknown
"Aeroservice, opf SiLA - Siberian Light Aviation",1,Unknown
Aerospike Iron LLC,1,Unknown
Aerotransportes Huitzilin,1,Unknown
Aerounion,1,Unknown
Aerowest,1,Unknown
Aery Aviation,1,Unknown
Afghan Air Force,1,Military
Africa's Connection STP,1,Unknown
African Express Airways,1,Commercial
Afriqiyah Airways,2,Commercial
Air Algérie,1,Commercial
Air America Flight Services,1,Commercial
Air Astana,1,Commercial
Air Canada,6,Commercial
"Air Canada Express, opb Jazz Aviation",3,Commercial
Air Canada Jetz,1,Private
Air Canada Rouge,1,Commercial
Air Cargo Carriers,2,Cargo
Air Charter Express,1,Private
Air Charter Scotland,1,Private
Air Charter Services,1,Private
Air China,2,Commercial
Air Choice One,1,Commercial
Air Colombia,1,Commercial
Air Creebec,2,Commercial
Air Djibouti,1,Commercial
"Air Europa Express, opb",1,Commercial
"Air Europa, opb Swiftair",1,Commercial
Air Excel,1,Commercial
Air Fast Congo,1,Commercial
Air Flamenco,1,Commercial
Air France,3,Commercial
Air India Express,3,Commercial
Air Inuit,2,Commercial
Air Kasai,1,Commercial
Air Katanga,1,Commercial
Air Majoro,1,Commercial
Air Mizia,1,Commercial
Air Moldova,1,Commercial
Air Namibia,1,Commercial
Air Niugini,2,Commercial
Air Peace,1,Commercial
Air Sanga,1,Commercial
Air Senegal,1,Commercial
Air Serv Limited,1,Commercial
"Air Serv Limited, opf UNHAS",1,Commercial
Air Taxi Vanuatu,1,Commercial
Air Tindi,2,Commercial
"Air Tindi, opf RCAF",1,Commercial
Air Tribe,1,Commercial
Air Tunilik,1,Commercial
Air Vanuatu,1,Commercial
Air-Glaciers,1,Commercial
Airco Aircraft Charters,1,Private
"Aircraft Management Group, Inc",1,Commercial
Airlink,1,Commercial
Airwing,1,Commercial
Alaska Air Fuel,1,Commercial
Alaska Seaplanes,4,Unknown
Alaskan Air Charter,1,Private
Algerian AF,2,Unknown
Alkan Air,2,Commercial
Alliance Air Charter,1,Private
Alpha Star Aviation Services,1,Unknown
Alpine Air Express,1,Commercial
Alpine Aviation,3,Unknown
Aluminios Cortizo,1,Unknown
"Amazon Air, opb Atlas Air",1,Commercial
Amazonaves Táxi Aéreo,1,Unknown
American Airlines,13,Commercial
"American Eagle, opb Envoy Air",2,Commercial
"American Eagle, opb Mesa Airlines",1,Commercial
"American Eagle, opb Republic Airlines",1,Commercial
Ameriflight,5,Unknown
Ameristar Jet Charter,1,Private
Amik Aviation,1,Unknown
Andersen Air LLC,1,Commercial
Anderson Air,1,Commercial
Angara Airlines,2,Commercial
Antonov Airlines,5,Commercial
Archipiélagos Servicios Aéreos,1,Unknown
Argentine AF,1,Unknown
Army Parachute Association,2,Unknown
Asia Airways,1,Commercial
Asia Continental Airlines,1,Commercial
Asiana Airlines,2,Commercial
Asure Air,1,Commercial
Atlantic Air Cargo,1,Cargo
Atlantic Transportation of Wilmington,1,Unknown
Atlas Air,1,Commercial
Auric Air,1,Commercial
Austrian Airlines,2,Commercial
Avia Jet LLC,1,Private
Aviacion Ejecutiva del Bajio,1,Unknown
Aviajet SA,1,Private
Aviakompaniya Feniks,1,Unknown
Avianca Brasil,1,Unknown
Aviation Star S II LLC,1,Unknown
Aviation Technical Center Virazh,1,Unknown
Avione Jet,1,Private
Avior,1,Unknown
Avis Industrial Corporation,1,Unknown
Ayk Avia,1,Unknown
Aéreo Transporte La Montaña,1,Unknown
BAR Aviation,1,Unknown
BBR Air,1,Commercial
Bahamasair,1,Commercial
Baires Fly,1,Commercial
Balai Kalibrasi Fasilitas Penerbangan,1,Unknown
Bald Mountain Air Services,2,Commercial
Bamaji Air,1,Commercial
Banco Macro,1,Unknown
Bank of Utah Trustee,1,Unknown
Banyan Jet Service,1,Private
Bayswater Road,1,Unknown
"Bearskin Airlines, opb Perimeter Aviation",1,Commercial
"Beidahuang General Airlines, opf China Meteorological Administration",1,Commercial
Beijing Capital Airlines,1,Commercial
Bek Air,1,Commercial
Bering Air,1,Commercial
Berjaya Air,1,Commercial
Berry Aviation,3,Unknown
Bighorn Airways,2,Commercial
Biman Bangladesh,2,Unknown
Bismillah Airlines,1,Commercial
Blue Air,1,Commercial
Blue Bird Aviation,2,Unknown
Blue Water Aviation Services,1,Unknown
Blue Wing Airlines,1,Commercial
"Bluebird Cargo, opf ASL Airlines Belgium",1,Cargo
Blueport Trade 121,1,Unknown
Bocas Air,1,Commercial
Bolívar Government,1,Unknown
Bomac Air,1,Commercial
Botswana AF,1,Unknown
Boulder Capital,1,Unknown
Boydak Air,1,Commercial
Brasil Vida Táxi Aéreo,3,Unknown
Bravo Airways,1,Commercial
Brazilian AF,1,Unknown
British Airways,1,Commercial
British Antarctic Survey,1,Unknown
Brook Haven Properties LLC,1,Unknown
Buffalo Airways,2,Commercial
Bush Air Safaris,1,Commercial
Business Jet Managers Inc,1,Private
Busy Bee Congo,1,Unknown
C-GHGR Holdings,1,Unknown
"CAF, Highland Lakes Squadron",1,Unknown
CGG Aviation Australia,1,Unknown
