operator,accidents,category
"A&C Big Sky Aviation, opb Trans-Pacific Jets",1,Private
"ACT Airlines, opf Saudi Arabian",1,Commercial
"ACT Airlines, opf Turkish Cargo",1,Cargo
ASL - Air Service Liege,1,Commercial
Abeer Air Services,1,Commercial
AerCaribe Cargo,2,Cargo
Aero Baires,1,Commercial
Aeromedevac Air Ambulance,1,Commercial
Aeronav Air Services,1,Commercial
African Express Airways,1,Commercial
Afriqiyah Airways,2,Commercial
Air Algérie,1,Commercial
Air America Flight Services,1,Commercial
Air Astana,1,Commercial
Air Canada,6,Commercial
"Air Canada Express, opb Jazz Aviation",3,Commercial
Air Canada Jetz,1,Private
Air Canada Rouge,1,Commercial
Air Cargo Carriers,2,Cargo
Air Charter Express,1,Private
Air Charter Scotland,1,Private
Air Charter Services,1,Private
Air China,2,Commercial
Air Choice One,1,Commercial
Air Colombia,1,Commercial
Air Creebec,2,Commercial
Air Djibouti,1,Commercial
"Air Europa Express, opb",1,Commercial
"Air Europa, opb Swiftair",1,Commercial
Air Excel,1,Commercial
Air Fast Congo,1,Commercial
Air Flamenco,1,Commercial
Air France,3,Commercial
Air India Express,3,Commercial
Air Inuit,2,Commercial
Air Kasai,1,Commercial
Air Katanga,1,Commercial
Air Majoro,1,Commercial
Air Mizia,1,Commercial
Air Moldova,1,Commercial
Air Namibia,1,Commercial
Air Niugini,2,Commercial
Air Peace,1,Commercial
Air Sanga,1,Commercial
Air Senegal,1,Commercial
Air Serv Limited,1,Commercial
"Air Serv Limited, opf UNHAS",1,Commercial
Air Taxi Vanuatu,1,Commercial
Air Tindi,2,Commercial
"Air Tindi, opf RCAF",1,Commercial
Air Tribe,1,Commercial
Air Tunilik,1,Commercial
Air Vanuatu,1,Commercial
Air-Glaciers,1,Commercial
Airco Aircraft Charters,1,Private
"Aircraft Management Group, Inc",1,Commercial
Airlink,1,Commercial
Airwing,1,Commercial
Alaska Air Fuel,1,Commercial
Alaskan Air Charter,1,Private
Alkan Air,2,Commercial
Alliance Air Charter,1,Private
Alpine Air Express,1,Commercial
"Amazon Air, opb Atlas Air",1,Commercial
American Airlines,13,Commercial
"American Eagle, opb Envoy Air",2,Commercial
"American Eagle, opb Mesa Airlines",1,Commercial
"American Eagle, opb Republic Airlines",1,Commercial
Ameristar Jet Charter,1,Private
Andersen Air LLC,1,Commercial
Anderson Air,1,Commercial
Angara Airlines,2,Commercial
Antonov Airlines,5,Commercial
Asia Airways,1,Commercial
Asia Continental Airlines,1,Commercial
Asiana Airlines,2,Commercial
Asure Air,1,Commercial
Atlantic Air Cargo,1,Cargo
Atlas Air,1,Commercial
Auric Air,1,Commercial
Austrian Airlines,2,Commercial
Avia Jet LLC,1,Private
Aviajet SA,1,Private
Avione Jet,1,Private
BBR Air,1,Commercial
Bahamasair,1,Commercial
Baires Fly,1,Commercial
Bald Mountain Air Services,2,Commercial
Bamaji Air,1,Commercial
Banyan Jet Service,1,Private
"Bearskin Airlines, opb Perimeter Aviation",1,Commercial
"Beidahuang General Airlines, opf China Meteorological Administration",1,Commercial
Beijing Capital Airlines,1,Commercial
Bek Air,1,Commercial
Bering Air,1,Commercial
Berjaya Air,1,Commercial
Bighorn Airways,2,Commercial
Bismillah Airlines,1,Commercial
Blue Air,1,Commercial
Blue Wing Airlines,1,Commercial
"Bluebird Cargo, opf ASL Airlines Belgium",1,Cargo
Bocas Air,1,Commercial
Bomac Air,1,Commercial
Boydak Air,1,Commercial
Bravo Airways,1,Commercial
British Airways,1,Commercial
Buffalo Airways,2,Commercial
Bush Air Safaris,1,Commercial
Business Jet Managers Inc,1,Private
Calafia Airlines,1,Commercial
Calm Air International,1,Commercial
Caroline Islands Air,2,Commercial
Caspian Airlines,2,Commercial
Cavok Air,3,Commercial
Cebu Pacific Air,1,Commercial
Chair Airlines,1,Commercial
Chartright Air,1,Commercial
Chen Aircrafts,1,Commercial
"Citywing, opb Van Air Europe",1,Commercial
Colcharter,1,Private
"CommutAir, opf United Express",1,Commercial
Conair,2,Commercial
Connair Consulting LLC,1,Commercial
Conquest Air Cargo,1,Cargo
Constanta Airlines,1,Commercial
Copa Airlines,1,Commercial
Corporate and Leisure Charters,1,Private
"Cubana, lsf Global Air",1,Commercial
Dabi Air Nusantara,1,Commercial
Daily Air,1,Commercial
Dana Air,1,Commercial
Delta Air Lines,11,Commercial
Delta Private Jets,2,Private
Denver Air Connection,1,Commercial
Desert-Air Safaris,1,Commercial
Dimonim Air,1,Commercial
Doren Air Congo,3,Commercial
Duk Air Travel,1,Commercial
ETA Air Charter,1,Private
Eagle Air,2,Commercial
Eagle Jet 300 LLC,1,Private
East Coast Jets,1,Private
Eastern Air Express,1,Commercial
Eastern Air Services,1,Commercial
Eastern Airways,1,Commercial
Edelweiss Air,1,Commercial
Edwards Jet Center,1,Private
