year,accidents,fatal_accidents
1950,262,123
1951,293,152
1952,239,129
1953,247,129
1954,234,116
1955,204,117
1956,203,110
1957,229,128
1958,227,127
1959,213,112
1960,224,112
1961,228,106
1962,244,134
1963,193,91
1964,235,114
1965,258,117
1966,222,127
1967,274,119
1968,301,129
1969,385,143
1970,344,139
1971,274,107
1972,330,153
1973,285,131
1974,251,129
1975,246,91
1976,218,106
1977,282,126
1978,253,115
1979,260,109
1980,243,98
1981,211,84
1982,214,75
1983,231,79
1984,198,79
1985,209,99
1986,193,90
1987,237,101
1988,216,102
1989,256,108
1990,244,87
1991,241,111
1992,258,93
1993,284,90
1994,249,88
1995,265,101
1996,245,85
1997,225,83
1998,223,74
1999,235,78
2000,218,75
2001,212,66
2002,221,69
2003,218,60
2004,209,57
2005,218,64
2006,220,66
2007,221,51
2008,218,59
2009,204,59
2010,189,48
2011,191,52
2012,176,44
2013,207,56
2014,228,49
2015,222,37
2016,207,44
2017,195,41
2018,232,40
2019,245,48
2020,201,34
2021,181,38
2022,165,31
2023,20,6
